CustomerID,Recency,Frequency,Monetary,TotalQuantity,UniqueProducts,AverageOrderValue,Cluster,Segment
12393,145,3,1061.1000000000001,522,33,353.70000000000005,0,Regular / Mid-Value
12394,117,1,381.08,182,21,381.08,1,At-Risk / Low-Value
12395,12,8,1899.57,1629,65,237.44625,3,High-Value / Loyal
12397,35,1,1214.81,704,70,1214.81,0,Regular / Mid-Value
12399,19,4,1108.65,1178,47,277.1625,2,Recent / Potential
12401,203,1,84.3,11,5,84.3,1,At-Risk / Low-Value
12402,223,1,225.6,94,11,225.6,1,At-Risk / Low-Value
12405,48,1,1710.39,857,54,1710.39,0,Regular / Mid-Value
12406,83,1,1621.25,793,48,1621.25,0,Regular / Mid-Value
12407,34,4,1407.3600000000001,1237,50,351.84000000000003,0,Regular / Mid-Value
12408,75,3,1491.77,734,58,497.25666666666666,0,Regular / Mid-Value
12409,82,1,6207.08,3142,64,6207.08,0,Regular / Mid-Value
12410,208,2,693.3299999999999,211,26,346.66499999999996,0,Regular / Mid-Value
12412,37,2,890.74,599,34,445.37,0,Regular / Mid-Value
12413,136,2,563.9,205,25,281.95,0,Regular / Mid-Value
12414,117,3,562.41,300,16,187.47,0,Regular / Mid-Value
12415,13,13,99146.16,63865,377,7626.627692307693,3,High-Value / Loyal
12417,6,7,2816.52,1229,132,402.36,3,High-Value / Loyal
12418,12,1,668.58,407,34,668.58,2,Recent / Potential
12421,14,3,628.56,407,25,209.51999999999998,2,Recent / Potential
12422,68,2,655.86,288,31,327.93,0,Regular / Mid-Value
12423,0,7,1650.67,1136,86,235.81,3,High-Value / Loyal
12424,62,2,1760.96,740,30,880.48,0,Regular / Mid-Value
12426,94,1,582.73,258,30,582.73,1,At-Risk / Low-Value
12427,271,1,303.5,79,10,303.5,1,At-Risk / Low-Value
12428,20,8,7548.12,3386,252,943.515,3,High-Value / Loyal
12429,72,3,2844.88,1045,62,948.2933333333334,0,Regular / Mid-Value
12431,19,11,4874.57,2108,134,443.14272727272726,3,High-Value / Loyal
12432,70,3,4016.66,1427,75,1338.8866666666665,0,Regular / Mid-Value
12433,266,2,3787.12,3582,79,1893.56,0,Regular / Mid-Value
12434,160,1,286.25,77,16,286.25,1,At-Risk / Low-Value
12435,167,1,3978.9900000000002,879,19,3978.9900000000002,0,Regular / Mid-Value
12437,77,9,2476.73,1643,58,275.1922222222222,3,High-Value / Loyal
12438,40,1,890.0699999999999,586,49,890.0699999999999,0,Regular / Mid-Value
12441,266,1,173.55,121,11,173.55,1,At-Risk / Low-Value
12444,21,2,2627.27,650,96,1313.635,0,Regular / Mid-Value
12447,143,1,476.49,190,26,476.49,1,At-Risk / Low-Value
12449,29,2,1636.88,657,71,818.44,0,Regular / Mid-Value
12450,56,2,197.88,128,7,98.94,1,At-Risk / Low-Value
12451,118,2,5307.82,4105,162,2653.91,0,Regular / Mid-Value
12453,34,1,707.09,473,43,707.09,2,Recent / Potential
12455,27,5,2176.36,1766,67,435.27200000000005,3,High-Value / Loyal
12456,31,2,2265.4,1073,77,1132.7,0,Regular / Mid-Value
12457,133,3,1067.25,397,23,355.75,0,Regular / Mid-Value
12458,184,1,441.92,270,19,441.92,1,At-Risk / Low-Value
12461,54,1,626.88,282,34,626.88,1,At-Risk / Low-Value
12462,203,1,762.11,287,40,762.11,1,At-Risk / Low-Value
12463,75,3,985.79,577,51,328.59666666666664,0,Regular / Mid-Value
12464,6,6,780.55,81,6,130.09166666666667,2,Recent / Potential
12465,69,1,440.94,294,26,440.94,1,At-Risk / Low-Value
12468,87,2,729.5400000000001,366,36,364.77000000000004,0,Regular / Mid-Value
12471,7,19,11116.4,4352,108,585.0736842105263,3,High-Value / Loyal
12472,38,5,4927.6,3088,180,985.5200000000001,3,High-Value / Loyal
12473,14,2,1186.25,878,60,593.125,2,Recent / Potential
12474,37,12,3896.38,2484,144,324.6983333333333,3,High-Value / Loyal
12476,41,6,3191.67,1132,91,531.945,3,High-Value / Loyal
12477,0,3,8834.03,2518,156,2944.6766666666667,3,High-Value / Loyal
12480,43,3,2144.95,1096,97,714.9833333333332,0,Regular / Mid-Value
12481,79,8,4101.76,2361,112,512.72,3,High-Value / Loyal
12483,83,5,1314.6100000000001,629,31,262.922,0,Regular / Mid-Value
12484,0,4,3663.15,1859,222,915.7875,3,High-Value / Loyal
12489,236,1,334.93,105,15,334.93,1,At-Risk / Low-Value
12490,0,5,2516.77,1360,74,503.354,3,High-Value / Loyal
12492,5,1,126.39000000000001,69,9,126.39000000000001,2,Recent / Potential
12493,65,2,433.74,207,20,216.87,0,Regular / Mid-Value
12494,61,5,868.86,364,42,173.772,0,Regular / Mid-Value
12500,6,6,1773.8400000000001,1270,20,295.64000000000004,3,High-Value / Loyal
12501,236,1,2169.39,1783,149,2169.39,0,Regular / Mid-Value
12502,27,4,2631.52,586,81,657.88,0,Regular / Mid-Value
12506,132,1,73.5,23,23,73.5,1,At-Risk / Low-Value
12507,34,3,1304.81,894,19,434.93666666666667,0,Regular / Mid-Value
12509,184,1,176.5,55,7,176.5,1,At-Risk / Low-Value
12510,42,2,982.5699999999999,353,29,491.28499999999997,0,Regular / Mid-Value
12513,12,1,612.29,462,35,612.29,2,Recent / Potential
12514,167,1,1017.68,440,51,1017.68,1,At-Risk / Low-Value
12515,253,1,383.7,131,16,383.7,1,At-Risk / Low-Value
12516,80,1,583.2,345,13,583.2,1,At-Risk / Low-Value
12517,26,2,1538.7,841,173,769.35,0,Regular / Mid-Value
12518,10,1,324.83,187,18,324.83,2,Recent / Potential
12520,42,4,2045.85,1099,104,511.4625,0,Regular / Mid-Value
12521,42,1,599.68,309,38,599.68,2,Recent / Potential
12523,7,7,1017.75,560,49,145.39285714285714,3,High-Value / Loyal
12524,62,6,3122.48,2290,92,520.4133333333333,0,Regular / Mid-Value
12527,194,2,284.92,221,15,142.46,1,At-Risk / Low-Value
12528,14,4,1287.37,503,46,321.8425,2,Recent / Potential
12530,23,3,1221.65,600,39,407.2166666666667,0,Regular / Mid-Value
12534,30,1,1089.18,651,63,1089.18,2,Recent / Potential
12535,86,1,371.45,115,18,371.45,1,At-Risk / Low-Value
12539,162,3,4517.69,1621,125,1505.8966666666665,0,Regular / Mid-Value
12540,7,10,8786.869999999999,4190,197,878.6869999999999,3,High-Value / Loyal
12541,73,2,536.14,419,27,268.07,0,Regular / Mid-Value
12545,159,1,628.15,346,34,628.15,1,At-Risk / Low-Value
12547,97,2,207.79999999999998,134,7,103.89999999999999,1,At-Risk / Low-Value
12548,66,1,95.19999999999999,49,5,95.19999999999999,1,At-Risk / Low-Value
12551,257,1,168.0,100,10,168.0,1,At-Risk / Low-Value
12553,10,7,2419.59,1351,81,345.6557142857143,3,High-Value / Loyal
12556,51,1,312.9,166,60,312.9,1,At-Risk / Low-Value
12557,58,4,9000.960000000001,3464,15,2250.2400000000002,0,Regular / Mid-Value
12559,210,2,561.71,283,21,280.855,1,At-Risk / Low-Value
12560,12,2,1436.31,820,77,718.155,2,Recent / Potential
12561,202,1,238.85,177,16,238.85,1,At-Risk / Low-Value
12562,26,3,1605.23,776,53,535.0766666666667,0,Regular / Mid-Value
12564,161,1,456.9,133,21,456.9,1,At-Risk / Low-Value
12565,188,1,145.92,80,9,145.92,1,At-Risk / Low-Value
12567,8,8,6958.16,3024,236,869.77,3,High-Value / Loyal
12569,7,12,1883.02,788,45,156.91833333333332,3,High-Value / Loyal
12571,21,1,248.35,197,14,248.35,2,Recent / Potential
12573,127,1,160.54000000000002,84,26,160.54000000000002,1,At-Risk / Low-Value
12574,215,1,218.45,61,11,218.45,1,At-Risk / Low-Value
12576,49,3,660.85,463,42,220.28333333333333,0,Regular / Mid-Value
12577,259,1,195.89,134,67,195.89,1,At-Risk / Low-Value
12578,230,1,1608.66,748,70,1608.66,0,Regular / Mid-Value
12580,146,1,415.7,238,24,415.7,1,At-Risk / Low-Value
12582,138,2,511.36,300,21,255.68,1,At-Risk / Low-Value
12583,6,9,4232.21,3463,84,470.24555555555554,3,High-Value / Loyal
12584,27,4,782.59,138,27,195.6475,0,Regular / Mid-Value
12585,134,2,2040.1,1279,77,1020.05,0,Regular / Mid-Value
12589,44,1,131.5,83,10,131.5,1,At-Risk / Low-Value
12590,111,2,9864.26,4283,68,4932.13,0,Regular / Mid-Value
12591,217,1,452.84999999999997,228,26,452.84999999999997,1,At-Risk / Low-Value
12592,113,1,231.8,165,9,231.8,1,At-Risk / Low-Value
12593,8,3,418.09999999999997,206,14,139.36666666666665,2,Recent / Potential
12594,21,8,2529.9,1440,46,316.2375,3,High-Value / Loyal
12596,142,1,269.95,156,15,269.95,1,At-Risk / Low-Value
12597,83,2,1428.81,675,72,714.405,0,Regular / Mid-Value
12598,61,4,1584.3799999999999,971,45,396.09499999999997,0,Regular / Mid-Value
12599,26,6,857.04,749,25,142.84,0,Regular / Mid-Value
12600,12,8,1936.5600000000002,544,26,242.07000000000002,3,High-Value / Loyal
12601,89,5,577.0600000000001,245,21,115.412,0,Regular / Mid-Value
12604,161,1,178.5,137,10,178.5,1,At-Risk / Low-Value
12609,86,2,800.73,518,42,400.365,0,Regular / Mid-Value
12610,6,2,1256.25,625,68,628.125,2,Recent / Potential
12613,97,4,1462.52,759,65,365.63,0,Regular / Mid-Value
12614,177,1,315.6,76,20,315.6,1,At-Risk / Low-Value
12615,68,1,634.74,413,31,634.74,1,At-Risk / Low-Value
12616,197,1,255.6,98,11,255.6,1,At-Risk / Low-Value
12619,16,5,2087.46,1756,28,417.492,3,High-Value / Loyal
12620,104,1,561.66,434,33,561.66,1,At-Risk / Low-Value
12621,0,15,10195.04,5439,208,679.6693333333334,3,High-Value / Loyal
12622,132,1,180.1,69,11,180.1,1,At-Risk / Low-Value
12623,176,1,305.1,191,18,305.1,1,At-Risk / Low-Value
12624,6,2,641.13,355,36,320.565,2,Recent / Potential
12625,111,2,2683.82,1612,73,1341.91,0,Regular / Mid-Value
12626,12,6,4774.0,2337,170,795.6666666666666,3,High-Value / Loyal
12627,8,4,1908.57,1016,92,477.1425,3,High-Value / Loyal
12633,29,3,1948.75,1068,66,649.5833333333334,0,Regular / Mid-Value
12635,54,1,683.64,399,40,683.64,0,Regular / Mid-Value
12637,57,5,3054.1,1406,138,610.8199999999999,0,Regular / Mid-Value
12639,138,1,486.1,201,22,486.1,1,At-Risk / Low-Value
12641,15,1,185.9,72,10,185.9,2,Recent / Potential
12642,7,1,366.45,277,24,366.45,2,Recent / Potential
12643,28,6,3344.64,1808,11,557.4399999999999,3,High-Value / Loyal
12644,29,1,477.91,325,31,477.91,2,Recent / Potential
12645,9,3,1310.8600000000001,825,52,436.9533333333334,2,Recent / Potential
12647,26,9,2886.71,1039,63,320.74555555555554,3,High-Value / Loyal
12648,54,1,318.05,160,21,318.05,1,At-Risk / Low-Value
12649,7,3,623.51,586,28,207.83666666666667,2,Recent / Potential
12651,234,1,114.0,78,9,114.0,1,At-Risk / Low-Value
12652,231,1,919.98,505,48,919.98,1,At-Risk / Low-Value
12653,48,2,2209.85,919,37,1104.925,0,Regular / Mid-Value
12654,97,3,337.75,151,19,112.58333333333333,0,Regular / Mid-Value
12656,16,3,2820.67,1280,51,940.2233333333334,2,Recent / Potential
12662,7,7,2653.66,1400,96,379.0942857142857,3,High-Value / Loyal
12664,43,3,1957.48,505,10,652.4933333333333,0,Regular / Mid-Value
12665,224,1,63.0,37,3,63.0,1,At-Risk / Low-Value
12668,159,3,2924.4700000000003,1334,104,974.8233333333334,0,Regular / Mid-Value
12669,50,3,2744.0299999999997,1115,98,914.6766666666666,0,Regular / Mid-Value
12670,99,2,1026.3899999999999,488,28,513.1949999999999,0,Regular / Mid-Value
12672,229,1,225.89999999999998,78,10,225.89999999999998,1,At-Risk / Low-Value
12673,226,1,220.9,171,23,220.9,1,At-Risk / Low-Value
12674,70,2,976.8,494,30,488.4,0,Regular / Mid-Value
12676,23,4,998.0500000000001,494,21,249.51250000000002,0,Regular / Mid-Value
12678,0,9,8282.26,5195,78,920.2511111111112,3,High-Value / Loyal
12679,105,2,906.38,407,43,453.19,0,Regular / Mid-Value
12680,13,1,311.78,230,20,311.78,2,Recent / Potential
12681,51,15,9866.58,5419,219,657.772,3,High-Value / Loyal
12682,0,20,8219.92,3531,149,410.996,3,High-Value / Loyal
12683,5,11,6217.88,3769,151,565.2618181818182,3,High-Value / Loyal
12684,70,4,1379.48,1274,37,344.87,0,Regular / Mid-Value
12686,271,1,89.14,107,7,89.14,1,At-Risk / Low-Value
12688,13,1,4873.8099999999995,3028,171,4873.8099999999995,2,Recent / Potential
12689,27,1,511.03,281,34,511.03,2,Recent / Potential
12690,105,1,389.01,106,16,389.01,1,At-Risk / Low-Value
12691,45,4,556.3,198,16,139.075,0,Regular / Mid-Value
12693,27,4,855.91,255,35,213.9775,0,Regular / Mid-Value
12694,83,1,439.5,323,20,439.5,1,At-Risk / Low-Value
12695,7,2,333.90000000000003,172,17,166.95000000000002,2,Recent / Potential
12697,31,2,733.91,359,27,366.955,2,Recent / Potential
12700,56,2,2149.05,1376,110,1074.525,0,Regular / Mid-Value
12701,142,1,337.08,246,21,337.08,1,At-Risk / Low-Value
12704,5,3,1100.92,465,40,366.97333333333336,2,Recent / Potential
12705,58,4,4162.52,2599,177,1040.63,0,Regular / Mid-Value
12707,191,1,603.42,256,33,603.42,1,At-Risk / Low-Value
12708,1,7,2031.77,989,71,290.2528571428571,3,High-Value / Loyal
12709,35,10,6469.11,2589,75,646.911,3,High-Value / Loyal
12710,61,2,790.36,447,47,395.18,0,Regular / Mid-Value
12712,6,11,3913.08,943,54,355.73454545454547,3,High-Value / Loyal
12714,6,4,3389.7,2258,167,847.425,3,High-Value / Loyal
12715,6,1,353.86,197,20,353.86,2,Recent / Potential
12716,33,1,677.9,503,45,677.9,2,Recent / Potential
12717,51,2,1030.98,506,49,515.49,0,Regular / Mid-Value
12720,24,15,3314.5,2747,159,220.96666666666667,3,High-Value / Loyal
12721,83,4,1698.91,1133,88,424.7275,0,Regular / Mid-Value
12722,14,3,929.65,559,48,309.8833333333333,2,Recent / Potential
12724,73,2,280.36,178,15,140.18,1,At-Risk / Low-Value
12725,271,1,427.8,164,24,427.8,1,At-Risk / Low-Value
12726,84,5,1467.32,1942,40,293.464,0,Regular / Mid-Value
12727,87,5,2800.4,1608,90,560.08,0,Regular / Mid-Value
12728,157,3,617.31,256,29,205.76999999999998,0,Regular / Mid-Value
12729,13,1,453.01,233,26,453.01,2,Recent / Potential
12731,44,8,11324.25,5439,84,1415.53125,3,High-Value / Loyal
12732,79,1,236.26000000000002,111,12,236.26000000000002,1,At-Risk / Low-Value
12733,134,1,383.95,137,22,383.95,1,At-Risk / Low-Value
12734,252,1,110.39999999999999,88,4,110.39999999999999,1,At-Risk / Low-Value
12735,215,2,779.5699999999999,368,38,389.78499999999997,0,Regular / Mid-Value
12736,232,1,234.0,173,4,234.0,1,At-Risk / Low-Value
12738,272,1,155.35,148,11,155.35,1,At-Risk / Low-Value
12743,34,2,546.43,319,114,273.215,2,Recent / Potential
12744,44,5,14211.970000000001,4640,163,2842.3940000000002,3,High-Value / Loyal
12747,9,8,2769.4,862,34,346.175,3,High-Value / Loyal
12748,1,127,13568.55,8701,1139,106.83897637795275,3,High-Value / Loyal
12749,30,3,2755.23,1080,113,918.41,0,Regular / Mid-Value
12750,28,1,275.88,137,15,275.88,2,Recent / Potential
12753,35,5,16620.91,9211,114,3324.182,3,High-Value / Loyal
12754,135,3,3010.74,6481,49,1003.5799999999999,0,Regular / Mid-Value
12755,180,2,3811.95,1491,4,1905.975,0,Regular / Mid-Value
12757,42,7,5281.08,918,89,754.4399999999999,3,High-Value / Loyal
12758,16,2,2791.59,2135,84,1395.795,2,Recent / Potential
12759,71,2,1082.52,630,60,541.26,0,Regular / Mid-Value
12763,38,2,494.08,316,16,247.04,0,Regular / Mid-Value
12764,216,1,1693.88,386,45,1693.88,0,Regular / Mid-Value
12766,49,5,4952.1900000000005,2495,161,990.4380000000001,3,High-Value / Loyal
12769,138,1,1143.6,356,32,1143.6,0,Regular / Mid-Value
12770,110,1,1351.45,743,12,1351.45,0,Regular / Mid-Value
12775,89,4,1164.68,740,36,291.17,0,Regular / Mid-Value
12778,83,4,492.06,458,25,123.015,0,Regular / Mid-Value
12779,89,7,2999.41,1385,68,428.4871428571428,0,Regular / Mid-Value
12781,184,1,549.26,346,15,549.26,1,At-Risk / Low-Value
12782,49,4,2078.67,958,73,519.6675,0,Regular / Mid-Value
12785,264,1,311.95,131,14,311.95,1,At-Risk / Low-Value
12787,92,1,158.1,65,8,158.1,1,At-Risk / Low-Value
12790,92,1,324.92,166,21,324.92,1,At-Risk / Low-Value
12791,273,1,192.60000000000002,97,2,192.60000000000002,1,At-Risk / Low-Value
12792,156,1,400.53999999999996,217,25,400.53999999999996,1,At-Risk / Low-Value
12793,234,2,545.48,295,21,272.74,1,At-Risk / Low-Value
12797,265,1,254.03,118,13,254.03,1,At-Risk / Low-Value
12798,70,1,1607.04,2256,6,1607.04,0,Regular / Mid-Value
12802,86,1,427.58,314,25,427.58,1,At-Risk / Low-Value
12808,84,2,281.35,108,16,140.675,1,At-Risk / Low-Value
12809,77,1,489.31,220,25,489.31,1,At-Risk / Low-Value
12811,160,3,514.85,230,27,171.61666666666667,0,Regular / Mid-Value
12814,1,1,125.92,49,2,125.92,2,Recent / Potential
12815,47,2,1063.46,379,38,531.73,0,Regular / Mid-Value
12816,76,1,318.65000000000003,77,15,318.65000000000003,1,At-Risk / Low-Value
12817,181,1,166.04,53,4,166.04,1,At-Risk / Low-Value
12818,161,1,1542.08,929,14,1542.08,0,Regular / Mid-Value
12820,226,1,170.46,146,11,170.46,1,At-Risk / Low-Value
12821,114,1,92.72,70,6,92.72,1,At-Risk / Low-Value
12823,27,4,1224.0,160,1,306.0,0,Regular / Mid-Value
12826,78,4,818.62,721,50,204.655,0,Regular / Mid-Value
12828,12,2,338.2,132,19,169.1,2,Recent / Potential
12829,236,2,293.0,376,9,146.5,1,At-Risk / Low-Value
12830,34,4,5204.0,6344,13,1301.0,3,High-Value / Loyal
12831,162,1,215.05,135,9,215.05,1,At-Risk / Low-Value
12833,45,1,417.38,156,24,417.38,1,At-Risk / Low-Value
12834,182,1,312.38,110,18,312.38,1,At-Risk / Low-Value
12836,37,3,2112.53,858,110,704.1766666666667,0,Regular / Mid-Value
12837,73,1,134.1,24,12,134.1,1,At-Risk / Low-Value
12838,273,1,390.79,228,59,390.79,1,At-Risk / Low-Value
12839,13,8,2683.81,1785,66,335.47625,3,High-Value / Loyal
12840,43,4,2726.77,1511,67,681.6925,0,Regular / Mid-Value
12841,6,17,2851.44,1820,167,167.73176470588237,3,High-Value / Loyal
12842,208,1,310.73,157,14,310.73,1,At-Risk / Low-Value
12843,59,7,1692.31,780,68,241.75857142857143,0,Regular / Mid-Value
12844,30,1,174.88,77,27,174.88,1,At-Risk / Low-Value
12845,167,4,354.09,204,26,88.5225,0,Regular / Mid-Value
12849,168,1,704.5,514,33,704.5,1,At-Risk / Low-Value
12852,194,1,311.55,149,17,311.55,1,At-Risk / Low-Value
12853,34,6,1957.1000000000001,800,66,326.18333333333334,3,High-Value / Loyal
12854,141,2,810.37,422,71,405.185,0,Regular / Mid-Value
12855,272,1,38.1,30,3,38.1,1,At-Risk / Low-Value
12857,110,2,1106.4,343,37,553.2,0,Regular / Mid-Value
12864,38,1,147.12,216,3,147.12,1,At-Risk / Low-Value
12865,23,1,981.38,550,58,981.38,2,Recent / Potential
12866,183,1,559.12,171,26,559.12,1,At-Risk / Low-Value
12867,65,5,2352.45,2601,186,470.48999999999995,0,Regular / Mid-Value
12868,85,6,1607.0600000000002,928,72,267.84333333333336,0,Regular / Mid-Value
12871,107,1,132.0,80,4,132.0,1,At-Risk / Low-Value
12872,226,2,599.97,319,58,299.985,1,At-Risk / Low-Value
12873,182,1,374.0,128,4,374.0,1,At-Risk / Low-Value
12875,43,2,343.2300000000001,2019,1,171.61500000000004,0,Regular / Mid-Value
12876,96,1,726.43,651,34,726.43,1,At-Risk / Low-Value
12877,24,9,1059.23,705,41,117.69222222222223,3,High-Value / Loyal
12878,136,2,854.99,547,38,427.495,0,Regular / Mid-Value
12881,175,1,298.0,21,7,298.0,1,At-Risk / Low-Value
12885,23,1,645.35,346,39,645.35,2,Recent / Potential
12886,119,1,775.0,416,47,775.0,1,At-Risk / Low-Value
12888,114,2,354.12,76,4,177.06,1,At-Risk / Low-Value
12891,85,3,331.0,950,2,110.33333333333333,0,Regular / Mid-Value
12897,104,2,216.5,110,3,108.25,1,At-Risk / Low-Value
12901,8,19,11639.470000000001,12420,29,612.6036842105264,3,High-Value / Loyal
12902,164,1,138.68,66,10,138.68,1,At-Risk / Low-Value
12904,72,1,244.69,165,32,244.69,1,At-Risk / Low-Value
12908,76,2,750.0,1200,1,375.0,0,Regular / Mid-Value
12909,101,3,1528.37,786,55,509.45666666666665,0,Regular / Mid-Value
12910,34,4,1486.9,830,26,371.725,0,Regular / Mid-Value
12913,182,3,866.39,345,12,288.7966666666667,0,Regular / Mid-Value
12915,48,2,363.65,93,19,181.825,0,Regular / Mid-Value
12916,38,4,3006.15,1119,53,751.5375,0,Regular / Mid-Value
12917,28,1,594.0,120,2,594.0,2,Recent / Potential
12919,16,3,441.65,203,12,147.21666666666667,2,Recent / Potential
12921,30,22,8924.55,5441,168,405.6613636363636,3,High-Value / Loyal
12922,61,1,405.38,370,28,405.38,1,At-Risk / Low-Value
12924,98,3,655.27,285,10,218.42333333333332,0,Regular / Mid-Value
12928,47,3,1136.14,690,42,378.71333333333337,0,Regular / Mid-Value
12929,211,1,117.85,37,8,117.85,1,At-Risk / Low-Value
12930,71,1,221.56,108,14,221.56,1,At-Risk / Low-Value
12931,1,11,32530.7,21384,27,2957.336363636364,3,High-Value / Loyal
12933,71,2,357.49,378,48,178.745,1,At-Risk / Low-Value
12935,9,4,1535.34,1268,58,383.835,2,Recent / Potential
12937,97,2,428.23,268,27,214.115,1,At-Risk / Low-Value
12939,38,4,7990.08,3208,20,1997.52,3,High-Value / Loyal
12942,31,3,683.9,203,68,227.96666666666667,0,Regular / Mid-Value
12944,254,1,286.95,145,14,286.95,1,At-Risk / Low-Value
12945,188,1,462.95,165,23,462.95,1,At-Risk / Low-Value
12947,43,6,1603.99,1165,83,267.33166666666665,0,Regular / Mid-Value
12948,5,4,1423.96,799,64,355.99,2,Recent / Potential
12949,14,7,3449.42,2048,144,492.7742857142857,3,High-Value / Loyal
12951,73,5,751.78,331,39,150.356,0,Regular / Mid-Value
12955,43,5,1346.9199999999998,1102,42,269.38399999999996,0,Regular / Mid-Value
12956,206,1,108.07,34,19,108.07,1,At-Risk / Low-Value
12957,86,4,1715.29,1248,97,428.8225,0,Regular / Mid-Value
12962,13,1,170.54000000000002,78,11,170.54000000000002,2,Recent / Potential
12963,265,1,365.8,172,16,365.8,1,At-Risk / Low-Value
12967,258,2,1660.9,438,19,830.45,0,Regular / Mid-Value
12968,12,1,135.95,73,5,135.95,2,Recent / Potential
12970,222,2,23.8,8,8,11.9,1,At-Risk / Low-Value
12971,7,61,7854.76,5668,80,128.7665573770492,3,High-Value / Loyal
12974,97,1,144.8,24,8,144.8,1,At-Risk / Low-Value
12976,111,1,738.6,561,22,738.6,1,At-Risk / Low-Value
12977,56,1,39.239999999999995,12,9,39.239999999999995,1,At-Risk / Low-Value
12980,57,9,7374.900000000001,886,6,819.4333333333334,3,High-Value / Loyal
12981,33,1,187.18,134,11,187.18,1,At-Risk / Low-Value
12982,142,1,390.54,288,28,390.54,1,At-Risk / Low-Value
12987,97,1,304.3,108,14,304.3,1,At-Risk / Low-Value
12988,192,1,535.32,136,75,535.32,1,At-Risk / Low-Value
12989,57,8,4469.14,2046,14,558.6425,3,High-Value / Loyal
12990,85,2,263.9,130,5,131.95,1,At-Risk / Low-Value
12991,12,1,303.56,361,22,303.56,2,Recent / Potential
12993,20,3,372.4,204,23,124.13333333333333,2,Recent / Potential
12994,20,2,645.47,303,38,322.735,2,Recent / Potential
12997,136,2,608.47,300,30,304.235,0,Regular / Mid-Value
12999,96,3,455.88,342,25,151.96,0,Regular / Mid-Value
13000,6,3,534.85,379,30,178.28333333333333,2,Recent / Potential
13001,58,11,8615.42,4879,154,783.22,3,High-Value / Loyal
13002,218,1,120.94999999999999,73,7,120.94999999999999,1,At-Risk / Low-Value
13003,5,3,149.05,103,4,49.68333333333334,2,Recent / Potential
13004,14,12,3785.09,3275,193,315.4241666666667,3,High-Value / Loyal
13005,73,2,513.7,172,21,256.85,0,Regular / Mid-Value
13008,223,1,229.46999999999997,175,14,229.46999999999997,1,At-Risk / Low-Value
13011,272,1,50.550000000000004,13,3,50.550000000000004,1,At-Risk / Low-Value
13012,48,4,1012.3100000000001,511,42,253.07750000000001,0,Regular / Mid-Value
13013,7,8,3382.79,1672,130,422.84875,3,High-Value / Loyal
13014,13,5,2022.48,616,53,404.496,3,High-Value / Loyal
13015,97,4,1763.04,705,80,440.76,0,Regular / Mid-Value
13016,23,1,425.25,315,28,425.25,2,Recent / Potential
13018,22,17,4788.85,3576,227,281.69705882352946,3,High-Value / Loyal
13021,66,4,1152.47,527,48,288.1175,0,Regular / Mid-Value
13023,29,1,336.40000000000003,159,20,336.40000000000003,2,Recent / Potential
13026,120,2,243.71999999999997,348,5,121.85999999999999,1,At-Risk / Low-Value
13027,13,6,6912.0,17280,6,1152.0,3,High-Value / Loyal
13029,38,2,773.1999999999999,92,6,386.59999999999997,0,Regular / Mid-Value
13030,268,1,427.74,204,50,427.74,1,At-Risk / Low-Value
13033,257,1,190.55,83,11,190.55,1,At-Risk / Low-Value
